ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,annual_rain_mm,aridity_index,aspect_deg,bulk_dens,cec_cmol_kg,clay_pct,cropland,elevation_m,et_mm,gdd_annual,grassland,gwt_depth_m,max_temp_c,mean_temp_c,min_temp_c,moisture_pct,ndvi_peak,ndvi_std,pet_mm,ph,ph_quality,rain_cv_pct,rainy_days,rainy_rain_mm,sand_pct,silt_pct,slope_deg,soc_g_kg,thermal_suit,water_occurrence,year,id,frost_days,heat_stress_days,ADM1_PCODE,ADM2_PCODE,crop_type,harvested_area_ha,production_tons,yield_t_ha
238,Syrian Arab Republic,2833,Al_Qunaytirah,26311,Al_Fiq,NO,3000,Member State,1000,0.039616508,1.078408543,773.8809445,39.86384298,222.1919189,1.438653226,38.33472531,444.991445,1,279.6291842,290.7896214,13638.52544,1,173.841069,27.87860164,18.94239644,8.950418774,15.015731,0.686218568,0.156695169,1940.310437,7.738248054,75.39173153,114.7600168,87.33877244,380.536908,153.1295923,402.4706222,3.527506088,29.84462349,91.75773464,69.90695489,2000,2323,,,,,,,,
238,Syrian Arab Republic,2833,Al_Qunaytirah,26312,Al_Qunaytirah,NO,3000,Member State,1000,0.120668536,1.817203669,1004.341219,50.79856353,196.6396652,1.392797379,36.80800834,452.0421233,1,812.7813464,253.331808,11782.60599,1,99.78962314,26.65739905,16.36473054,5.590003201,12.86621342,0.564446777,0.12361753,1976.10555,7.519971534,82.66761553,117.0309603,93.67630505,489.7500276,184.0334609,363.9594199,3.215624823,25.20123137,93.51274596,62.36754297,2000,2324,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26313,A'zaz,NO,3000,Member State,1000,0.121728487,2.146811382,606.9500704,31.83649649,180.5676029,1.396196968,30.36538609,429.7996425,1,481.8095159,270.3647596,12544.64311,1,12.33630082,30.5929658,17.42311544,4.556449958,14.18725165,0.596390817,0.136267932,1905.459998,7.471901984,84.26993387,87.66819879,91.7919163,302.0335527,165.5478602,396.9674719,0.559398203,24.25735487,99.56065963,30.7875817,2000,2325,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26314,Afrin,NO,3000,Member State,1000,0.194810459,2.230856022,855.4590875,46.89834449,184.8305861,1.371035123,25.51170824,404.3181051,1,493.5760545,242.1713391,12032.35483,1,89.965976,29.12741832,16.71160392,4.303465283,13.27975894,0.386657345,0.050590832,1823.070971,7.198506433,93.3831189,81.50856102,102.4930142,417.2507747,192.8950466,401.4796676,3.206478872,32.26458622,95.49487957,72.67440361,2000,2326,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26315,Ain_Al_Arab,NO,3000,Member State,1000,0.285146327,2.615456939,518.7254531,25.78214755,180.1352135,1.344070296,29.15984317,412.5287694,1,457.6511594,158.1265211,13362.52595,1,40.7417743,33.83647125,18.55906382,4.729879669,7.876066195,0.280661463,0.056766529,2010.955956,7.452704986,84.90983381,89.22925164,95.80575992,252.806419,160.737883,374.9119357,1.026508894,16.80178945,93.94820676,86.06697787,2000,2327,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26316,Al_Bab,NO,3000,Member State,1000,0.223794265,2.70647827,473.1540335,25.26368897,171.3158859,1.361738999,28.32570189,404.137529,1,440.5998951,196.8633584,13074.61104,1,12.48017986,31.62738776,18.15918199,5.189048683,10.51180326,0.370977222,0.079622097,1871.862012,7.526863486,82.4378838,92.35193382,84.65111464,228.8704365,172.3288421,394.8106379,0.536196258,18.97472913,96.23324575,57.38811081,2000,2328,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26317,As_Safira,NO,3000,Member State,1000,0.226229514,2.727688396,363.0669921,19.49517293,194.0542344,1.456944439,23.81607607,339.9130212,1,386.7828001,171.6555374,13415.24988,1,58.56984464,31.3153955,18.6322915,6.037257008,9.215781603,0.248136101,0.040490376,1861.343019,7.634697244,78.8434252,88.91153882,77.89221786,173.9172347,209.796782,447.6738108,1.021027812,12.3940763,93.52976286,61.3127161,2000,2329,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26318,Jarablus,NO,3000,Member State,1000,0.056313267,1.389591551,548.2123501,28.82804176,123.911363,1.374076188,31.59740814,433.9335195,1,453.0262094,176.3760552,13072.05928,1,19.54434174,33.45354931,18.15563789,4.322752604,9.282551359,0.362738557,0.074771447,1900.663507,7.473535251,84.21549162,89.73163974,92.26717639,268.7155124,151.8135123,395.6820817,0.731704106,17.89025411,96.25349777,86.86344794,2000,0000000000000000232a,,,,,,,,
238,Syrian Arab Republic,2834,Aleppo,26319,Jebel_Saman,NO,3000,Member State,1000,0.320135248,3.90953411,521.3946007,28.35592256,185.7492815,1.399045613,26.85095306,367.0160671,1,348.6130778,210.0116722,13181.13024,1,24.0041333,30.54852016,18.30712534,5.985143054,11.41849937,0.363330086,0.066314101,1837.750263,7.511498758,82.95004141,85.20667178,85.64163656,255.6689406,183.2856532,401.209007,0.780531933,17.98196178,95.3878552,28.18423019,2000,0000000000000000232b,,,SY02,SY0201,Wheat,55000,143000,2.6
238,Syrian Arab Republic,2834,Aleppo,26320,Menbij,NO,3000,Member State,1000,0.476099108,4.018173677,380.6896661,19.89987641,173.279788,1.406754586,24.018397,332.4689528,1,397.1956572,169.9098386,13489.95337,1,17.60715977,32.35243565,18.73604634,5.701434488,8.886832397,0.263746065,0.046190458,1912.025279,7.618434657,79.38551142,88.47946316,84.89684028,179.4254758,198.2878033,437.4207931,0.49517755,12.11218955,92.93687805,92.68040719,2000,0000000000000000232c,,,,,,,,
